FROM | (68.64, 122.83) to (97.51, 132.71)
MOUNTED | (2769.12, 660.96) to (2794.01, 667.41)
A | (2851.02, 662.81) to (2860.46, 670.08)
(SELF-ACTUATED) | (2603.52, 666.31) to (2653.81, 672.97)
SPECTACLE | (2488.32, 671.79) to (2522.79, 679.73)
INSTRUMENT | (2750.16, 669.36) to (2782.43, 675.81)
R | (2851.02, 670.14) to (2860.46, 678.0)
FE | (2576.64, 676.39) to (2584.47, 683.05)
-FLOW | (2599.44, 676.39) to (2617.29, 683.05)
ELEMENT | (2619.12, 676.39) to (2645.72, 683.05)
A | (2851.02, 678.17) to (2860.46, 685.44)
PLATE-CLOSED | (2488.32, 681.63) to (2532.48, 689.57)
FG | (2576.64, 686.23) to (2585.13, 692.89)
-FLOW | (2599.44, 686.23) to (2617.29, 692.89)
SIGHT | (2619.12, 686.23) to (2636.36, 692.89)
GLASS | (2638.08, 686.23) to (2656.83, 692.89)
R/G | (2743.2, 682.8) to (2751.57, 689.25)
STATUS | (2749.68, 690.48) to (2768.31, 696.93)
LIGHTS | (2769.36, 690.48) to (2786.55, 696.93)
I | (2851.02, 688.4) to (2860.46, 691.44)
D | (2851.02, 691.5) to (2860.46, 699.36)
GATE | (2488.32, 696.51) to (2504.31, 704.45)
VALVE | (2505.84, 696.51) to (2524.47, 704.45)
FHV | (2576.64, 696.07) to (2588.55, 702.73)
-FLOW | (2600.16, 696.07) to (2616.06, 702.73)
MANUAL | (2617.68, 696.07) to (2638.16, 702.73)
CONT. | (2639.52, 696.07) to (2654.8, 702.73)
VALVE | (2656.32, 696.07) to (2672.31, 702.73)
XL | (2725.44, 696.24) to (2731.28, 702.69)
R=RED, | (2749.68, 698.88) to (2767.12, 705.33)
G=GREEN | (2768.16, 698.88) to (2791.37, 705.33)
U | (2851.02, 699.42) to (2860.46, 707.28)
FHTD | (2576.64, 706.15) to (2592.48, 712.81)
-FLOW | (2599.92, 706.15) to (2615.82, 712.81)
MANUAL | (2617.44, 706.15) to (2637.92, 712.81)
TRANSDUCER | (2639.28, 706.15) to (2673.77, 712.81)
PILOT | (2749.68, 707.52) to (2763.23, 713.97)
LIGHT | (2764.56, 707.52) to (2778.35, 713.97)
(DO | (2779.44, 707.52) to (2788.29, 713.97)
NOT | (2789.52, 707.52) to (2799.47, 713.97)
A | (2851.02, 707.45) to (2860.46, 714.72)
GLOBE | (2488.32, 713.07) to (2508.39, 721.01)
VALVE | (2509.92, 713.07) to (2528.79, 721.01)
FIC | (2576.64, 715.99) to (2586.24, 722.65)
-FLOW | (2600.4, 715.99) to (2614.59, 722.65)
INDICATOR | (2615.76, 715.99) to (2640.5, 722.65)
CONTROLLER | (2641.68, 715.99) to (2672.42, 722.65)
USE | (2749.68, 715.92) to (2759.43, 722.37)
FOR | (2760.48, 715.92) to (2770.73, 722.37)
MOTOR | (2771.76, 715.92) to (2789.45, 722.37)
STATUS) | (2790.48, 715.92) to (2810.83, 722.37)
S | (2851.02, 714.89) to (2860.46, 722.16)
CHECK | (2488.56, 727.71) to (2508.87, 735.65)
VALVE | (2510.4, 727.71) to (2529.27, 735.65)
FM | (2576.64, 725.83) to (2585.46, 732.49)
-FLOW | (2599.44, 725.83) to (2617.29, 732.49)
METER | (2619.12, 725.83) to (2638.89, 732.49)
F | (2851.02, 725.1) to (2860.46, 731.76)
FO | (2576.64, 735.91) to (2585.13, 742.57)
-RESTRICTION | (2599.44, 735.91) to (2639.37, 742.57)
ORIFICE | (2641.2, 735.91) to (2664.03, 742.57)
MOTOR | (2749.68, 732.96) to (2767.13, 739.41)
STATUS | (2768.16, 732.96) to (2787.03, 739.41)
O | (2851.03, 731.69) to (2860.46, 740.16)
PLUG | (2488.56, 744.51) to (2504.25, 752.45)
VALVE | (2505.84, 744.51) to (2524.71, 752.45)
FQI | (2576.64, 745.75) to (2586.46, 752.41)
-FLOW | (2600.16, 745.75) to (2615.58, 752.41)
TOTALIZER | (2616.72, 745.75) to (2642.58, 752.41)
INDICATOR | (2643.84, 745.75) to (2669.45, 752.41)
PILOT | (2749.68, 741.36) to (2763.23, 747.81)
LIGHT | (2764.32, 741.36) to (2778.35, 747.81)
T | (2851.02, 743.1) to (2860.46, 749.76)
N | (2851.02, 749.82) to (2860.46, 757.68)
BALL | (2488.32, 759.87) to (2502.45, 767.81)
VALVE | (2504.16, 759.87) to (2522.79, 767.81)
FF | (2576.64, 755.59) to (2580.3, 772.33)
TR | (2580.48, 755.59) to (2584.8, 772.33)
- | (2599.44, 755.59) to (2601.25, 762.25)
-F | (2599.44, 755.59) to (2604.68, 772.33)
FL | (2601.36, 755.59) to (2607.74, 772.33)
LO | (2604.72, 755.59) to (2612.07, 772.33)
OW | (2607.84, 755.59) to (2617.29, 772.33)
W | (2612.16, 765.67) to (2617.29, 772.33)
R | (2619.12, 755.59) to (2623.05, 762.25)
TRE | (2619.12, 755.59) to (2626.83, 772.33)
AC | (2626.56, 755.59) to (2630.97, 772.33)
NO | (2630.4, 755.59) to (2635.35, 772.33)
SR | (2634.48, 755.59) to (2639.37, 772.33)
MD | (2638.32, 755.59) to (2643.45, 772.33)
IE | (2643.12, 755.59) to (2647.23, 772.33)
TR | (2644.8, 755.59) to (2651.37, 772.33)
TER | (2648.16, 765.67) to (2659.29, 772.33)
ML | (2726.88, 762.48) to (2733.44, 768.93)
IL | (2749.68, 760.08) to (2752.4, 774.69)
NO | (2751.12, 760.08) to (2756.37, 774.69)
SC | (2754.72, 760.08) to (2759.93, 774.69)
TA | (2758.08, 760.08) to (2763.27, 774.69)
RL | (2760.96, 760.08) to (2766.08, 774.69)
U | (2764.56, 768.24) to (2768.09, 774.69)
M | (2767.44, 760.08) to (2771.52, 766.53)
MO | (2768.16, 760.08) to (2775.33, 774.69)
EU | (2772.24, 760.08) to (2778.89, 774.69)
NN | (2775.36, 760.08) to (2782.49, 774.69)
TTED | (2778.96, 760.08) to (2792.33, 774.69)
E | (2851.02, 757.85) to (2860.46, 765.12)
S | (2851.02, 765.29) to (2860.46, 772.56)
DOUBLE | (2488.32, 772.83) to (2511.99, 780.77)
DISC | (2513.76, 772.83) to (2527.68, 780.77)
FY | (2576.64, 775.51) to (2584.47, 782.17)
-FLOW | (2599.44, 775.51) to (2617.29, 782.17)
RELAY | (2619.12, 775.51) to (2637.63, 782.17)
N | (2851.02, 772.62) to (2860.46, 780.48)
GATE | (2488.32, 782.91) to (2504.31, 790.85)
VALVE | (2505.84, 782.91) to (2524.47, 790.85)
HIC | (2576.64, 786.55) to (2586.96, 793.21)
-HAND | (2600.16, 785.11) to (2614.1, 791.77)
INDICATOR | (2615.52, 785.11) to (2640.02, 791.77)
CONTROLLER | (2641.44, 785.11) to (2671.94, 791.77)
MOUNTED | (2749.68, 788.88) to (2774.57, 795.33)
BEHIND | (2776.08, 788.88) to (2794.49, 795.33)
CO | (2851.02, 780.41) to (2860.46, 796.8)
ANGLE | (2488.56, 794.19) to (2508.15, 802.13)
VALVE | (2509.68, 794.19) to (2528.55, 802.13)
HS | (2576.64, 796.39) to (2585.19, 803.05)
-HAND | (2599.44, 796.63) to (2616.33, 803.29)
SWITCH | (2617.92, 796.63) to (2639.13, 803.29)
LOCAL | (2749.68, 796.8) to (2766.08, 803.25)
PANEL | (2767.44, 796.8) to (2783.6, 803.25)
N | (2850.78, 799.98) to (2860.22, 807.84)
LA | (2576.64, 806.47) to (2583.99, 813.13)
-LEVEL | (2599.68, 806.71) to (2617.59, 813.37)
ALARM | (2618.88, 806.71) to (2637.09, 813.37)
E | (2850.78, 808.01) to (2860.22, 815.28)
LV | (2576.64, 816.31) to (2583.99, 822.97)
-LEVEL | (2599.44, 815.11) to (2618.07, 821.77)
CONTROL | (2619.6, 815.11) to (2645.91, 821.77)
VALVE | (2647.44, 815.11) to (2664.99, 821.77)
RACK | (2749.68, 817.92) to (2762.79, 824.37)
MOUNTED | (2763.84, 817.92) to (2787.77, 824.37)
T | (2850.78, 815.1) to (2860.22, 821.76)
T | (2850.78, 821.58) to (2860.22, 828.24)
PRESS. | (2486.64, 825.39) to (2507.98, 833.33)
RELIEF | (2509.68, 825.39) to (2529.9, 833.33)
VALVE | (2531.52, 825.39) to (2550.15, 833.33)
LCV | (2576.64, 826.15) to (2588.07, 832.81)
-LEVEL | (2599.44, 825.19) to (2618.07, 831.85)
CONTROL | (2619.6, 825.19) to (2645.91, 831.85)
VALVE | (2647.44, 825.19) to (2664.99, 831.85)
(OR | (2749.68, 826.66) to (2757.86, 832.67)
BACK | (2759.04, 826.66) to (2771.3, 832.67)
OF | (2772.72, 826.66) to (2778.74, 832.67)
PANEL) | (2779.92, 826.66) to (2796.25, 832.67)
I | (2850.78, 828.32) to (2860.22, 831.36)
R | (2850.78, 831.42) to (2860.22, 839.28)
(SELF-ACTUATED) | (2603.52, 835.03) to (2653.81, 841.69)
W | (2850.79, 839.32) to (2860.22, 849.6)
LG | (2576.64, 846.07) to (2584.65, 852.73)
-LEVEL | (2599.44, 845.11) to (2618.07, 851.77)
GAUGE | (2619.6, 845.11) to (2639.07, 851.77)
GLASS | (2640.48, 845.11) to (2658.75, 851.77)
ELECTRICAL | (2749.68, 846.48) to (2780.24, 852.93)
LIC | (2576.64, 855.91) to (2585.76, 862.57)
-LEVEL | (2599.92, 854.95) to (2615.54, 861.61)
INDICATOR | (2616.72, 854.95) to (2641.22, 861.61)
CONTROLLER | (2642.64, 854.95) to (2673.14, 861.61)
SUPPLY | (2749.68, 854.64) to (2769.27, 861.09)
REQUIRED | (2770.56, 854.64) to (2796.66, 861.09)
E | (2850.78, 852.89) to (2860.22, 860.16)
0.00-6894.76 | (1105.92, 858.91) to (1163.97, 868.79)
KPag | (1166.64, 858.91) to (1190.61, 868.79)
VACUUM | (2485.92, 862.11) to (2511.06, 870.05)
RELIEF | (2512.56, 862.11) to (2532.78, 870.05)
VALVE | (2534.4, 862.11) to (2553.27, 870.05)
LI | (2576.64, 865.99) to (2581.66, 872.65)
-LEVEL | (2599.44, 864.79) to (2618.07, 871.45)
INDICATOR | (2619.6, 864.79) to (2649.21, 871.45)
TH | (2850.78, 860.22) to (2860.22, 874.56)
LR | (2576.64, 875.83) to (2584.32, 882.49)
-LEVEL | (2599.44, 874.87) to (2618.07, 881.53)
RECORDER | (2619.6, 874.87) to (2650.41, 881.53)
INSTRUMENT | (2749.68, 874.8) to (2781.95, 881.25)
T | (2850.78, 877.74) to (2860.22, 884.4)
M | (2461.92, 887.74) to (2465.09, 892.68)
MOTOR | (2486.16, 887.79) to (2508.0, 895.73)
OPERATED | (2509.44, 887.79) to (2541.36, 895.73)
LS | (2576.64, 885.67) to (2583.99, 892.33)
-LEVEL | (2599.44, 884.71) to (2618.07, 891.37)
SWITCH | (2619.6, 884.71) to (2641.05, 891.37)
AIR | (2749.68, 882.96) to (2758.01, 889.41)
SUPPLY | (2759.28, 882.96) to (2778.87, 889.41)
REQUIRED | (2780.16, 882.96) to (2806.25, 889.41)
U | (2850.78, 884.46) to (2860.22, 892.32)
VALVE | (2486.16, 897.63) to (2505.03, 905.57)
LT | (2576.64, 895.75) to (2583.66, 902.41)
-LEVEL | (2599.44, 894.55) to (2618.07, 901.21)
TRANSMITTER | (2619.6, 894.55) to (2658.33, 901.21)
H | (2742.48, 900.24) to (2746.01, 906.69)
HO | (2850.78, 892.25) to (2860.22, 908.64)
LTD | (2576.64, 905.59) to (2587.68, 912.25)
-LEVEL | (2599.44, 904.63) to (2618.07, 911.29)
TRANSDUCER | (2619.6, 904.63) to (2657.13, 911.29)
HIGH | (2749.68, 907.2) to (2761.37, 913.65)
LOW | (2812.08, 907.2) to (2822.94, 913.65)
T | (2850.78, 908.46) to (2860.22, 915.12)
ML | (2576.64, 914.47) to (2585.01, 921.13)
-MOTOR | (2599.44, 914.47) to (2623.2, 921.13)
STATUS | (2624.88, 914.47) to (2648.55, 921.13)
LIGHT | (2650.08, 914.47) to (2667.42, 921.13)
L | (2804.88, 915.84) to (2807.6, 922.29)
I | (2850.78, 915.2) to (2860.22, 918.24)
W | (2850.79, 918.28) to (2860.22, 928.56)
P | (2462.16, 927.1) to (2464.7, 932.04)
PISTON | (2486.16, 932.19) to (2508.0, 940.13)
OPERATED | (2509.44, 932.19) to (2541.36, 940.13)
M | (2576.64, 925.51) to (2581.62, 932.17)
NAOV | (2576.64, 925.51) to (2589.99, 941.05)
--M | (2599.44, 924.31) to (2605.65, 941.05)
ANOT | (2601.36, 924.31) to (2612.84, 941.05)
NO | (2609.76, 924.31) to (2616.87, 941.05)
UR | (2614.08, 924.31) to (2620.65, 941.05)
N | (2618.4, 934.39) to (2622.72, 941.05)
O | (2622.0, 924.31) to (2626.23, 930.97)
CP | (2622.72, 924.31) to (2629.71, 941.05)
IAE | (2627.04, 924.31) to (2633.07, 941.05)
TR | (2632.56, 924.31) to (2636.73, 941.05)
OAT | (2636.16, 924.31) to (2643.32, 941.05)
RED | (2640.72, 924.31) to (2650.41, 941.05)
VALVE | (2651.76, 924.31) to (2668.59, 930.97)
TWO | (2763.84, 936.96) to (2775.09, 943.41)
PEN | (2776.08, 936.96) to (2785.86, 943.41)
RECORDER | (2786.88, 936.96) to (2813.93, 943.41)
G | (2850.79, 931.61) to (2860.22, 940.08)
VALVE | (2486.16, 942.27) to (2505.03, 950.21)
PB | (2576.64, 944.23) to (2584.71, 950.89)
-PUSHBUTTON | (2599.44, 944.23) to (2639.85, 950.89)
N | (2850.54, 940.14) to (2859.98, 948.0)
IW | (2850.54, 948.08) to (2859.98, 961.2)
PC | (2576.64, 954.07) to (2585.04, 960.73)
-PRESSURE | (2599.44, 954.07) to (2629.95, 960.73)
CONTROLLER | (2631.12, 954.07) to (2666.73, 960.73)
FF | (2742.48, 955.44) to (2748.35, 961.89)
CONTROL | (2486.16, 963.63) to (2514.45, 971.57)
VALVE | (2515.92, 963.63) to (2534.79, 971.57)
PV | (2576.64, 964.15) to (2584.71, 970.81)
-PRESS. | (2599.44, 964.15) to (2620.15, 970.81)
CONTROL | (2621.52, 964.15) to (2647.35, 970.81)
VALVE | (2648.64, 964.15) to (2665.23, 970.81)
FOUNDATION | (2749.68, 962.64) to (2780.81, 969.09)
A | (2850.54, 961.37) to (2859.98, 968.64)
PCV | (2576.64, 973.99) to (2589.03, 980.65)
-PRESS. | (2599.44, 973.99) to (2620.15, 980.65)
CONTROL | (2621.52, 973.99) to (2647.35, 980.65)
VALVE | (2648.64, 973.99) to (2665.23, 980.65)
FIELDBUS | (2749.68, 971.04) to (2772.63, 977.49)
INSTRUMENT | (2773.92, 971.04) to (2804.75, 977.49)
R | (2850.54, 968.7) to (2859.98, 976.56)
D | (2850.54, 976.62) to (2859.98, 984.48)
(SELF | (2602.32, 983.83) to (2618.36, 990.49)
ACTUATED) | (2620.08, 983.83) to (2652.13, 990.49)
S | (2850.54, 987.77) to (2859.98, 995.04)
P | (2462.16, 997.63) to (2464.45, 1001.07)
BALL | (2486.64, 991.71) to (2500.77, 999.65)
TYPE | (2502.48, 991.71) to (2517.75, 999.65)
PDC | (2576.64, 993.91) to (2589.36, 1000.57)
-PRESS. | (2599.44, 993.91) to (2620.15, 1000.57)
DIFF. | (2621.52, 993.91) to (2634.55, 1000.57)
CONTROLLER | (2635.92, 993.91) to (2671.77, 1000.57)
DISTRIBUTED | (2715.6, 991.47) to (2750.97, 999.41)
CONTROL/SHARED | (2752.32, 991.47) to (2801.37, 999.41)
I | (2850.54, 995.12) to (2859.98, 998.16)
H | (2850.54, 998.22) to (2859.98, 1006.08)
CONTROL | (2486.64, 1001.79) to (2514.93, 1009.73)
VALVE | (2516.4, 1001.79) to (2535.27, 1009.73)
PDI | (2576.64, 1003.75) to (2586.7, 1010.41)
-PRESS. | (2599.44, 1003.75) to (2621.11, 1010.41)
DIFF. | (2622.48, 1003.75) to (2635.99, 1010.41)
INDICATOR | (2637.36, 1003.75) to (2666.97, 1010.41)
DISPLAY | (2715.6, 1002.75) to (2738.19, 1010.69)
SYMBOLS | (2739.6, 1002.75) to (2765.07, 1010.69)
T | (2850.54, 1005.9) to (2859.98, 1012.56)
WITH | (2486.64, 1011.63) to (2501.76, 1019.57)
POSITIONER | (2503.2, 1011.63) to (2538.96, 1019.57)
PDIC | (2576.64, 1013.59) to (2591.04, 1020.25)
-PRESSURE | (2599.44, 1013.59) to (2630.91, 1020.25)
DIFFERENTIAL | (2632.32, 1013.59) to (2670.87, 1020.25)
(DCS) | (2743.92, 1017.77) to (2757.07, 1024.0)
DISTRIBUTED | (2758.08, 1017.77) to (2789.21, 1024.0)
CONTROL | (2790.24, 1017.77) to (2813.12, 1024.0)
M | (2850.55, 1015.73) to (2859.98, 1024.8)
S | (2462.88, 1026.22) to (2465.42, 1031.16)
INDICATOR | (2603.52, 1023.67) to (2633.13, 1030.33)
CONTROLLER | (2634.48, 1023.67) to (2671.53, 1030.33)
SYSTEM, | (2743.92, 1026.17) to (2762.65, 1032.4)
OPERATOR | (2763.84, 1026.17) to (2787.38, 1032.4)
ACCESSIBLE | (2788.56, 1026.17) to (2815.22, 1032.4)
O | (2850.55, 1024.73) to (2859.98, 1033.2)
SOLENOID | (2486.16, 1032.27) to (2516.16, 1040.21)
VALVE | (2517.6, 1032.27) to (2536.47, 1040.21)
PDIS | (2576.64, 1033.51) to (2590.71, 1040.17)
-PRESSURE | (2599.44, 1033.51) to (2630.91, 1040.17)
DIFFERENTIAL | (2632.32, 1033.51) to (2670.87, 1040.17)
IN | (2743.92, 1034.81) to (2748.65, 1041.04)
CONTROL | (2749.68, 1034.81) to (2772.56, 1041.04)
ROOM | (2773.68, 1034.81) to (2788.32, 1041.04)
R | (2850.54, 1033.26) to (2859.98, 1041.12)
F | (2850.54, 1040.94) to (2859.98, 1047.6)
PDT | (2576.64, 1053.43) to (2588.7, 1060.09)
-PI | (2599.44, 1045.75) to (2605.03, 1060.09)
RN | (2604.48, 1045.75) to (2608.89, 1060.09)
ED | (2608.32, 1045.75) to (2612.73, 1060.09)
SIC | (2611.68, 1045.75) to (2618.01, 1060.09)
SA | (2615.04, 1045.75) to (2621.55, 1060.09)
. | (2618.64, 1053.43) to (2620.15, 1060.09)
T | (2621.52, 1045.75) to (2624.84, 1052.41)
DO | (2621.52, 1045.75) to (2629.11, 1060.09)
IFR | (2625.36, 1045.75) to (2633.13, 1060.09)
F | (2629.92, 1053.43) to (2633.24, 1060.09)
.S | (2633.04, 1045.75) to (2638.11, 1060.09)
TW | (2635.92, 1045.75) to (2643.21, 1060.09)
RAIT | (2639.04, 1045.75) to (2647.88, 1060.09)
NC | (2646.24, 1045.75) to (2651.85, 1060.09)
SH | (2650.08, 1045.75) to (2655.69, 1060.09)
MITTER | (2653.44, 1053.43) to (2672.73, 1060.09)
(DCS) | (2743.92, 1048.97) to (2757.07, 1055.2)
DISTRIBUTED | (2758.08, 1048.97) to (2789.21, 1055.2)
CONTROL | (2790.24, 1048.97) to (2813.12, 1055.2)
D | (2850.54, 1050.78) to (2859.98, 1058.64)
VALVE | (2483.76, 1057.47) to (2502.63, 1065.41)
NORMALLY | (2504.16, 1057.47) to (2535.99, 1065.41)
SYSTEM, | (2743.92, 1057.37) to (2761.3, 1063.6)
OPERATOR | (2762.16, 1057.37) to (2784.59, 1063.6)
INACCESSIBLE | (2785.68, 1057.37) to (2814.38, 1063.6)
E | (2850.54, 1058.57) to (2859.98, 1065.84)
CLOSED | (2483.76, 1067.55) to (2507.52, 1075.49)
PDTD | (2576.64, 1063.27) to (2592.96, 1069.93)
-PRESS. | (2599.44, 1063.27) to (2620.15, 1069.93)
DIFF. | (2621.52, 1063.27) to (2634.55, 1069.93)
TRANSDUCER | (2635.92, 1063.27) to (2672.25, 1069.93)
IN | (2743.92, 1066.01) to (2748.65, 1072.24)
CONTROL | (2749.68, 1066.01) to (2772.56, 1072.24)
ROOM | (2773.68, 1066.01) to (2788.32, 1072.24)
N | (2850.54, 1065.9) to (2859.98, 1073.76)
PG | (2576.64, 1073.11) to (2585.37, 1079.77)
-PRESSURE | (2599.44, 1073.11) to (2634.15, 1079.77)
GAGE | (2635.92, 1073.11) to (2653.11, 1079.77)
I | (2850.54, 1073.84) to (2859.98, 1076.88)
A | (2850.3, 1077.05) to (2859.74, 1084.32)
PI | (2576.64, 1082.71) to (2582.38, 1089.37)
-PRESSURE | (2599.44, 1083.19) to (2634.15, 1089.85)
INDICATOR | (2635.92, 1083.19) to (2668.56, 1089.85)
(DCS) | (2743.92, 1080.17) to (2757.07, 1086.4)
DISTRIBUTED | (2758.08, 1080.17) to (2789.21, 1086.4)
CONTROL | (2790.24, 1080.17) to (2813.12, 1086.4)
T | (2850.3, 1084.14) to (2859.74, 1090.8)
PIC | (2576.64, 1093.03) to (2586.72, 1099.69)
-PRESS. | (2600.4, 1092.79) to (2618.65, 1099.45)
INDICATOR | (2619.84, 1092.79) to (2644.1, 1099.45)
CONTROLLER | (2645.52, 1092.79) to (2676.02, 1099.45)
SYSTEM, | (2743.92, 1088.57) to (2761.3, 1094.8)
OPERATOR | (2762.16, 1088.57) to (2784.59, 1094.8)
INACCESSIBLE | (2785.68, 1088.57) to (2814.38, 1094.8)
B | (2850.3, 1090.97) to (2859.74, 1098.24)
IN | (2743.92, 1096.97) to (2748.65, 1103.2)
FIELD | (2749.68, 1096.97) to (2763.05, 1103.2)
O | (2850.31, 1098.17) to (2859.74, 1106.64)
PR | (2576.64, 1102.87) to (2585.04, 1109.53)
-PRESSURE | (2599.44, 1102.87) to (2634.15, 1109.53)
RECORDER | (2635.92, 1102.87) to (2670.0, 1109.53)
E | (2850.3, 1109.93) to (2859.74, 1117.2)
PS | (2576.64, 1112.95) to (2584.71, 1119.61)
-PRESSURE | (2599.44, 1112.95) to (2634.15, 1119.61)
SWITCH | (2635.92, 1112.95) to (2659.2, 1119.61)
DISTRIBUTED | (2715.6, 1118.91) to (2750.97, 1126.85)
CONTROL | (2752.32, 1118.91) to (2777.91, 1126.85)
B | (2850.3, 1117.13) to (2859.74, 1124.4)
P | (2576.64, 1122.79) to (2580.63, 1129.45)
PT | (2576.64, 1122.79) to (2584.38, 1139.29)
X | (2580.72, 1132.63) to (2584.71, 1139.29)
- | (2599.44, 1122.79) to (2601.25, 1129.45)
-P | (2599.44, 1122.79) to (2604.75, 1139.29)
PR | (2601.36, 1122.79) to (2608.65, 1139.29)
RE | (2605.44, 1122.79) to (2612.19, 1139.29)
ES | (2609.76, 1122.79) to (2615.79, 1139.29)
SS | (2613.84, 1122.79) to (2619.63, 1139.29)
SU | (2617.68, 1122.79) to (2623.53, 1139.29)
UR | (2621.76, 1122.79) to (2627.37, 1139.29)
RE | (2626.08, 1122.79) to (2630.91, 1139.29)
E | (2630.16, 1132.63) to (2634.15, 1139.29)
T | (2632.56, 1122.79) to (2635.88, 1129.45)
PRA | (2635.92, 1122.79) to (2643.39, 1139.29)
ON | (2640.0, 1122.79) to (2647.29, 1139.29)
INS | (2644.56, 1122.79) to (2650.83, 1139.29)
TMITTER | (2650.56, 1122.79) to (2671.05, 1139.29)
INTERCONNECTING | (2717.04, 1130.19) to (2768.31, 1138.13)
LOGIC | (2769.6, 1130.19) to (2786.01, 1138.13)
L | (2850.3, 1127.46) to (2859.74, 1133.52)
L | (2850.3, 1133.46) to (2859.74, 1139.52)
PY | (2576.64, 1142.71) to (2584.71, 1149.37)
-PRESS. | (2599.92, 1142.23) to (2620.0, 1148.89)
COMPUTATION | (2621.28, 1142.23) to (2657.94, 1148.89)
MOD. | (2659.2, 1142.23) to (2672.08, 1148.89)
CONTROLLER | (2715.6, 1141.71) to (2751.69, 1149.65)
WITH | (2753.04, 1141.71) to (2766.33, 1149.65)
BINARY | (2767.68, 1141.71) to (2787.63, 1149.65)
A | (2850.3, 1139.69) to (2859.74, 1146.96)
H | (2850.3, 1147.02) to (2859.74, 1154.88)
PZV | (2576.64, 1152.55) to (2588.31, 1159.21)
-PRESSURE | (2599.92, 1152.31) to (2630.43, 1158.97)
RELIEF | (2631.6, 1152.31) to (2649.81, 1158.97)
VALVE | (2651.04, 1152.31) to (2668.11, 1158.97)
OR | (2715.6, 1152.99) to (2723.61, 1160.93)
SEQUENTIAL | (2724.96, 1152.99) to (2758.47, 1160.93)
FUNCTIONS | (2759.76, 1152.99) to (2790.51, 1160.93)
S | (2850.3, 1154.81) to (2859.74, 1162.08)
RTD | (2576.64, 1162.39) to (2588.88, 1169.05)
-RESIST. | (2599.44, 1162.39) to (2622.31, 1169.05)
TEMP. | (2623.68, 1162.39) to (2640.31, 1169.05)
DETECTOR | (2641.68, 1162.39) to (2671.53, 1169.05)
(PLC) | (2744.16, 1167.77) to (2756.35, 1174.0)
PROGRAMMABLE | (2757.6, 1167.77) to (2797.59, 1174.0)
LOGIC | (2798.64, 1167.77) to (2813.21, 1174.0)
, | (2850.3, 1165.28) to (2859.74, 1168.32)
T | (2850.3, 1168.14) to (2859.74, 1174.8)
1"x3/4" | (1771.44, 1176.03) to (1796.96, 1186.2)
SI | (2576.64, 1172.47) to (2582.38, 1179.13)
-SPEED | (2599.44, 1172.47) to (2620.41, 1179.13)
INDICATOR | (2622.24, 1172.47) to (2652.81, 1179.13)
CONTROLLER, | (2744.16, 1176.17) to (2777.2, 1182.4)
NORMALLY | (2778.24, 1176.17) to (2803.83, 1182.4)
R | (2850.3, 1174.86) to (2859.74, 1182.72)
SS | (2576.64, 1182.31) to (2584.71, 1188.97)
-SPEED | (2599.44, 1182.31) to (2620.41, 1188.97)
SWITCH | (2622.24, 1182.31) to (2644.17, 1188.97)
INACCESSIBLE | (2744.88, 1184.57) to (2775.86, 1190.8)
OR | (2777.04, 1184.57) to (2783.3, 1190.8)
BEHIND | (2784.48, 1184.57) to (2800.34, 1190.8)
THE | (2801.52, 1184.57) to (2809.94, 1190.8)
A | (2850.3, 1182.89) to (2859.74, 1190.16)
TC | (2576.64, 1192.15) to (2584.8, 1198.81)
-TEMP. | (2599.44, 1192.15) to (2618.71, 1198.81)
CONTROLLER | (2620.32, 1192.15) to (2658.57, 1198.81)
PANEL | (2744.16, 1193.21) to (2758.34, 1199.44)
DEVICE | (2759.76, 1193.21) to (2775.86, 1199.44)
OR | (2777.28, 1193.21) to (2783.78, 1199.44)
FUNCTIONS | (2785.2, 1193.21) to (2810.42, 1199.44)
P | (2850.3, 1190.33) to (2859.74, 1197.6)
TV | (2576.64, 1202.23) to (2584.47, 1208.89)
-TEMP. | (2599.44, 1202.23) to (2618.71, 1208.89)
CONTROL | (2620.32, 1202.23) to (2647.59, 1208.89)
VALVE | (2649.36, 1202.23) to (2667.39, 1208.89)
(PLC) | (2744.16, 1204.49) to (2756.35, 1210.72)
PROGRAMMABLE | (2757.6, 1204.49) to (2797.59, 1210.72)
LOGIC | (2798.64, 1204.49) to (2813.21, 1210.72)
N | (2850.3, 1200.78) to (2859.74, 1208.64)
I | (2850.3, 1208.72) to (2859.74, 1211.76)
TCV | (2576.64, 1212.07) to (2588.55, 1218.73)
-TEMP. | (2599.44, 1212.07) to (2618.71, 1218.73)
CONTROL | (2620.32, 1212.07) to (2647.59, 1218.73)
VALVE | (2649.36, 1212.07) to (2667.39, 1218.73)
CONTROLLER | (2744.16, 1213.13) to (2776.01, 1219.36)
FUNCTION, | (2777.04, 1213.13) to (2802.16, 1219.36)
R | (2850.06, 1214.94) to (2859.5, 1222.8)
(SELF-ACTUATED) | (2603.52, 1221.91) to (2653.81, 1228.57)
CAN | (2744.16, 1221.53) to (2754.17, 1227.76)
BE | (2755.2, 1221.53) to (2761.59, 1227.76)
NORMALLY | (2762.64, 1221.53) to (2788.47, 1227.76)
O | (2850.07, 1222.73) to (2859.5, 1231.2)
TSO | (2452.32, 1238.91) to (2464.41, 1246.85)
-TIGHT | (2476.08, 1238.67) to (2495.58, 1246.61)
